l	sl	w	sw	air_Pre	air_Imp	build-Imp
23.96925831	24.22848689	76.55361501	8.032564454	80901	17727.83845	23866.66927
17.72554616	87.200216	42.81849613	37.11978689	289088	133422.1812	82611.94104
21.16552263	98.75356358	29.55936529	38.25444737	302765	138266.3601	125084.2544
28.8186498	55.21759827	59.69848078	27.45260506	135528	65911.83654	58304.01821
25.15965885	69.86002111	47.98051631	27.67752163	195089	85404.59942	69689.26341
25.47647709	33.03029216	70.96451581	39.05693055	187368	109803.6379	84201.40595
5.075810499	53.6478875	66.21107475	36.0096545	232980	115585.8302	13768.74947
13.14496927	91.87315757	52.56178778	14.29948046	290422	88265.14438	66124.06279
11.38002759	87.27084653	33.57319256	28.73147489	244138	103169.6164	84371.98771
18.69780954	71.85931784	50.53580299	28.63846706	60578	39491.66265	39349.71357
25.38896896	96.14288613	53.7344663	18.7343338	248955	83309.45146	63141.90633
8.8623408	34.03523234	20.04916636	33.2396638	141432	81354.13891	72604.25068
15.23623294	27.43058398	61.31210584	16.5247953	81716	29626.25077	29557.2458
10.53857007	39.62083919	76.7211781	29.88179484	289069	118463.9641	14592.05692
15.08233908	90.35984573	65.56120113	38.66598873	67076	57740.44562	50696.54736
8.286057786	59.74147807	26.46736461	23.25985391	131475	56293.47992	48971.35919
19.25654547	67.70689781	28.70436426	6.881078894	64409	9020.455665	11551.34893
13.52898535	60.06330218	62.15224797	34.43245711	209525	104864.7693	68700.38333
15.15870987	88.41455663	75.06315267	16.02463092	261732	82162.00063	65429.87265
8.991950564	47.1561308	62.78171147	33.6814711	195378	98731.08517	11987.65474
12.1485318	49.19350506	32.08080946	23.02257805	141749	58118.94972	47301.27746
23.73473598	94.88382577	37.43307801	18.03438385	205123	65695.44861	62543.65566
27.07722902	62.75437723	23.52791228	10.95437395	54180	13089.45836	15486.83965
12.83455775	33.99751145	29.45662238	11.48563755	81820	21113.83998	22734.71284
23.15154503	76.51230046	57.11223182	17.76010029	213031	68073.95936	56496.69689
18.66115411	75.50263035	54.58747802	33.89924643	185855	96502.33633	66403.11734
18.05331067	95.58462656	38.97201316	23.53748282	64323	35057.11596	37764.24469
24.81033285	85.26652292	74.41119923	38.55558421	170117	103533.8926	79639.43132
10.89489818	73.6743255	74.20385691	25.75322785	125091	59230.28278	48658.3392
25.77562153	67.25282785	75.57304246	38.82832662	55247	49227.3418	46782.32169
22.87770585	86.98401547	68.80536344	31.84588853	106111	66197.97489	58805.44913
13.84520636	28.33789715	38.41246615	38.86996813	232754	122682.9162	96836.60157
25.86428031	43.04494605	29.68896214	23.44346135	90059	44691.61018	42908.53208
9.882790307	52.46958075	50.16730883	30.38550041	239034	105273.3712	66065.96975
5.337699474	48.07132676	31.12766812	7.118487293	197821	33231.95286	33006.36105
26.12368972	30.13625852	67.67895571	8.545301809	137431	26135.49764	31605.42844
16.6601809	40.14956115	75.49215174	34.13819356	247913	116445.3426	16253.59185
25.50228821	51.84958742	57.25216134	27.22218799	287017	112616.7371	78265.50271
19.81698309	57.72230177	27.50632198	31.4994378	301072	125002.2105	87141.94185
6.246514077	71.50264073	48.66501353	17.34182935	296967	96106.51981	57024.2052
28.26344125	35.97410178	41.35450738	18.32780322	80380	32869.20412	33427.90173
15.90787582	27.07143696	67.84124938	27.26517009	121894	61383.55277	48155.48943
28.90971386	41.39818814	50.9318943	16.26690512	88965	30311.77278	31475.67514
19.91617828	36.98393786	44.03050104	38.11609629	54897	48205.65371	45213.74638
7.099949872	52.14875333	38.08279691	21.26358835	195767	69240.94034	45390.07433
29.47751908	70.03658547	76.16316304	17.40193989	124372	41376.00905	41439.65056
5.290172993	69.65129779	49.37650558	24.93190016	70790	39715.09197	34911.74434
7.687111536	36.57131104	79.32566116	33.25098444	284256	124110.0061	81123.25768
12.98064673	49.05791878	30.9322298	5.485597057	54248	7639.563562	10205.63472
6.671819482	25.53964137	70.0340561	34.76691288	123458	78675.64095	59302.26136
9.290469074	29.83389013	37.81683422	37.61683596	165125	99401.23324	79197.51252
21.50386405	33.42413081	44.46993998	39.59874528	299376	140059.7681	94003.96523
12.64791113	73.24634214	69.38052426	37.26776552	201183	110153.7595	68978.49838
11.50467075	59.36960665	51.27913148	17.7865014	106985	37821.26906	34214.93812
21.95707281	98.2591407	49.20535961	15.64014615	202517	58357.90024	53028.49145
18.37658623	87.78538232	43.87275051	12.39686744	207024	50303.87189	51056.93248
13.23878328	54.08106149	40.29753688	14.6062379	139753	39544.15546	36203.46898
6.958193652	32.2977792	47.24469785	25.48550478	155954	67482.61223	44490.80757
